cluster,cell_type,top_panel,top_score,gap_to_second
0,T_cell,T_cell,0.7514765979055422,0.40240553629934966
1,NK,NK,1.3298507732262104,1.1746775779788163
2,T_cell,T_cell,0.5111847625458672,0.18683928423858154
3,Monocyte,Monocyte,2.1615610024052407,1.8672418449039616
4,T_cell,T_cell,0.5902658963134985,0.33048279232005373
5,Cholangiocyte,Cholangiocyte,1.1558729143351334,0.5941004931585568
6,Endothelial_vasc,Endothelial_vasc,0.9407565478266423,0.20647030585085546
7,NK,NK,2.377469135823938,2.0984915399274873
8,Endothelial_vasc,Endothelial_vasc,1.0033576260539614,0.332185728859293
9,Monocyte,Monocyte,0.4046090134498278,0.21268213534760974
10,HSC_activated/Myofibroblast,HSC_activated,0.7948502587848068,0.5007249726975456
11,Kupffer,Kupffer,1.3633734813623604,0.891357917125342
12,LSEC,LSEC,2.043005957189177,1.5150423721080513
13,B_cell,B_cell,1.5741460433971022,0.4314611729672275
14,Plasma,Plasma,4.051158243590507,3.685012880185088
15,HSC_activated/Myofibroblast,HSC_activated,1.3204787481526135,1.0660084649479475
16,NK,NK,0.4721848226270433,0.3506994773927381
17,Hepatocyte,Hepatocyte,1.8130219603585933,1.4139204677969053
18,Endothelial_vasc (mixed/Scar-Associated Macrophage),Endothelial_vasc,0.41456536765532065,0.004141844572614961
19,Monocyte (mixed/Plasma),Monocyte,0.15771656031541134,0.034349747002808406
20,Plasma,Plasma,2.119318086610618,0.3948661793546471
21,Mast,Mast,2.7970805485919117,2.3732375162343184
