leiden,HSC_quiescent,HSC_activated,Kupffer,Monocyte,SAM,LSEC,Endothelial_vasc,Scar_endothelial,Cholangiocyte,Hepatocyte,T_cell,B_cell,Plasma,NK,pDC,Mast
0,-0.05373561672603727,-0.15698098286097895,-0.08024676576406242,-0.3142590424835438,-0.13735678889491879,-0.08993369647365419,-0.13598600947767464,-0.220444087641671,-0.0909010199950439,-0.16725457150391826,0.7514765979055422,-0.012466447425425244,0.2455339489361353,0.34907106160619256,-0.011788243960082085,-0.0035648771779969064
1,-0.055102752999973234,-0.18538611272365743,-0.10938944711959188,-0.3289141292676049,-0.18771214691444404,-0.10299406843167959,-0.15883069487849433,-0.3553243971195559,-0.09982917502249554,-0.14681353516954204,-0.46324533524967376,-0.04991175277256412,0.15517319524739395,1.3298507732262104,0.000955759991947402,0.00403993905842377
2,-0.045121329684679114,-0.1315991008342733,-0.06688681219757917,-0.2898627065066213,-0.14772634719945832,-0.08622206130587849,-0.14591055928251703,-0.08695888386832343,-0.07456393077085159,-0.14963780160357856,0.5111847625458672,-0.02122527167143566,0.32434547830728566,-0.4661273899595432,-0.008083802448423166,0.0024612824159192404
3,-0.07010639952622626,-0.07495466196455036,-0.026936814246266365,2.1615610024052407,-0.08589410323168543,-0.07664300834214399,-0.051301199202507974,-0.36522151303673905,-0.09542026559111848,-0.15081328951754247,-0.5452786497861082,-0.05424380394144705,0.2943191575012791,-0.5027414828377167,0.03203616657629228,0.0015270151218995831
4,-0.0479749026720928,-0.1531893590430405,-0.07436305494014726,-0.2769909568763316,-0.13615287650530525,-0.10087015001804255,-0.15331766498431065,-0.24039756582000038,-0.0833151756102959,-0.17234721968436353,0.5902658963134985,-0.031119132352217537,0.25978310399344473,-0.20415333673258146,-0.015763198744927487,0.004588981704278426
5,0.17886102563805475,-0.12456623222109225,-0.17294728215031394,-0.2824640586673571,0.1756109531900432,-0.18426226534952356,-0.23248413536983978,-0.4552782666183484,1.1558729143351334,0.5617724211765766,-0.7257554759576417,-0.09445517213705198,0.023010111152086975,-0.6529044235817141,-0.056792840274336835,-0.027099373850597634
6,0.025444319099981173,0.0562677059781194,-0.13212128062465978,-0.4283634744474451,0.14169428252573674,0.03297290617196336,0.9407565478266423,0.7342862419757868,-0.15355005310440706,-0.10324304896519508,-0.7787912950973318,-0.09160187427109207,0.3154020155020256,-0.7122512918722416,-0.026815749313940148,-0.02355206465837084
7,-0.05761193489571786,-0.16224299909055934,-0.09487572271426775,-0.3355640187721123,-0.19380942884238256,-0.10119325987805206,-0.1575209080824737,-0.3661703676599817,-0.10215603890915201,-0.14292359383173825,-0.5163157672350555,-0.044538118827486366,0.2789775958964505,2.377469135823938,-0.02736069070463328,0.002526485442449547
8,0.042860929128967946,0.15445639030504957,-0.09464721716934553,-0.40412151336990887,0.14296576850359588,0.03681353443941625,1.0033576260539614,0.6711718971946684,-0.1167965076403468,-0.0875060323286431,-0.736335287149508,-0.07956265395510467,0.3195870204563748,-0.6905585313947257,-0.04561074353195402,-0.02252035136570273
9,-0.08681458955614074,-0.1348643113209935,0.12852024570208845,0.4046090134498278,0.1460419309671436,-0.08379334769357105,-0.1343890338539606,-0.3412656440747752,-0.12576536498492277,-0.1685283836153678,-0.5658579657245664,-0.0639904341296556,0.19192687810221806,-0.5533168697508076,0.0376139554089006,-0.002718013023902595
