Rank,Gene,Primary_Compartment,Translational_Category,log2FC_cirrh_vs_healthy,padj,Tau_Specificity,Detection_Rate_Cirrh,Fibrosis_Pathway_Member,Druggable_Flag,Surface_or_Secreted,Literature_Fibrosis,CCI_Evidence,Rule_Score,ML_Score,Final_Prioritization_Score
1,ACKR1,Endothelial,"Therapeutic (druggable, tractable)",4.2544,0.0,0.9587,0.3612,1,1,1,1,0.0,0.6813,1.0,0.7769
2,TIMP1,Mesenchyme,"Therapeutic (druggable, tractable)",3.4847,0.0,0.4676,0.9536,1,1,1,1,0.0,0.6137,0.8787,0.6932
3,COL3A1,Mesenchyme,Diagnostic / surface biomarker,3.6232,0.0,0.9751,0.6441,1,0,1,1,0.0,0.5806,0.9358,0.6872
4,PLVAP,Mesenchyme,Diagnostic / surface biomarker,4.2284,0.0,0.9649,0.0967,1,0,1,1,0.0,0.5019,0.9015,0.6218
5,PDGFRA,Mesenchyme,"Therapeutic (druggable, tractable)",3.284,0.0,0.9689,0.325,0,1,1,1,0.0,0.5564,0.7211,0.6058
6,CTHRC1,Mesenchyme,Diagnostic / surface biomarker,3.7968,0.0,0.7698,0.1857,1,0,1,1,0.0,0.466,0.8487,0.5808
7,COL1A1,Mesenchyme,Mechanistic biomarker,4.7733,0.0,0.9786,0.6286,1,0,0,1,0.0,0.6389,0.4061,0.569
8,LOXL2,Mesenchyme,Therapeutic (pathway target),2.7907,0.0251,0.9205,0.0716,1,1,0,1,0.0,0.5911,0.5147,0.5682
9,GPNMB,Mesenchyme,Mechanistic biomarker,2.0277,0.0084,0.9328,0.1721,1,0,0,1,0.0,0.4378,0.3987,0.4261
10,COL1A2,Mesenchyme,Mechanistic biomarker,3.9548,0.0,0.9838,0.6538,1,0,0,0,0.0,0.4799,0.2775,0.4192
11,LOX,Mesenchyme,Mechanistic biomarker,8.4958,0.0003,0.8001,0.1644,1,0,0,0,0.0,0.4624,0.237,0.3948
12,FN1,Macrophage,Mechanistic biomarker,4.1941,0.0056,0.906,0.0815,1,0,0,0,0.6937,0.3931,0.2463,0.3491
13,BGN,Mesenchyme,Mechanistic biomarker,1.3512,0.0323,0.9669,0.942,1,0,0,0,0.0,0.4049,0.2174,0.3487
14,PECAM1,Mesenchyme,Diagnostic / surface biomarker,3.8812,0.0001,0.8964,0.0909,0,0,1,0,0.0,0.2707,0.5189,0.3451
15,DCN,Mesenchyme,Mechanistic biomarker,2.1056,0.0006,0.9839,0.764,1,0,0,0,0.0,0.4148,0.1471,0.3345
16,LOXL1,Mesenchyme,Mechanistic biomarker,1.8095,0.0089,0.9649,0.1915,1,0,0,0,0.0,0.3421,0.3101,0.3325
17,MMP2,Mesenchyme,Exploratory,3.5107,0.0,0.8743,0.2824,0,1,0,0,0.0,0.4388,0.0682,0.3276
18,PDGFA,Mesenchyme,Exploratory,-2.4866,0.0001,0.901,0.2379,0,1,0,0,0.0,0.4038,0.0682,0.3031
19,CXCL12,Mesenchyme,Exploratory,1.2728,0.0325,0.7131,0.4043,0,1,0,0,1.7892,0.3902,0.072,0.2947
20,FCN2,Endothelial,Exploratory,-4.6017,0.0,0.9562,0.0448,0,0,0,0,0.0,0.388,0.0621,0.2902
