pathway,ligand,receptor,sender,receiver,ligand_mean_cirrh,ligand_mean_healthy,receptor_mean_cirrh,receptor_mean_healthy,ligand_bias,receptor_bias,interaction_score,hint_match
Chemokine,CXCL12,CXCR4,Mesenchyme,Macrophage,0.7151884436607361,0.2990157902240753,1.4281964302062988,1.0765743255615234,0.41617265343666077,0.3516221046447754,1.789224340242498,False
Chemokine,CXCL12,CXCR4,Endothelial,Macrophage,0.5168121457099915,0.5390211939811707,1.4281964302062988,1.0765743255615234,-0.0222090482711792,0.3516221046447754,1.0897313662350427,True
TGFB,TGFB1,TGFBR2,Macrophage,Endothelial,0.6144010424613953,0.5450538992881775,1.2127673625946045,1.1390235424041748,0.06934714317321777,0.07374382019042969,0.8882164952049294,False
ECM-Integrin,FN1,ITGAV,Mesenchyme,Mesenchyme,0.6747586727142334,0.16096505522727966,0.18315573036670685,0.12679481506347656,0.5137936174869537,0.056360915303230286,0.6937404503124291,True
ECM-Integrin,FN1,ITGAV,Endothelial,Mesenchyme,0.6356632709503174,0.18772457540035248,0.18315573036670685,0.12679481506347656,0.4479386955499649,0.056360915303230286,0.6207249815113904,False
Chemokine,CXCL12,CXCR4,Mesenchyme,Endothelial,0.7151884436607361,0.2990157902240753,0.2265157699584961,0.18609529733657837,0.41617265343666077,0.040420472621917725,0.6185945870398086,False
ECM-Integrin,FN1,ITGAV,Mesenchyme,Endothelial,0.6747586727142334,0.16096505522727966,0.12261684983968735,0.2007383555173874,0.5137936174869537,-0.07812150567770004,0.5965304003371816,False
ECM-Integrin,FN1,ITGAV,Mesenchyme,Macrophage,0.6747586727142334,0.16096505522727966,0.12086960673332214,0.128080353140831,0.5137936174869537,-0.00721074640750885,0.5953514328978216,False
TGFB,TGFB1,TGFBR2,Mesenchyme,Endothelial,0.27498483657836914,0.10981771349906921,1.2127673625946045,1.1390235424041748,0.16516712307929993,0.07374382019042969,0.5724035782803867,False
ECM-Integrin,FN1,ITGAV,Endothelial,Endothelial,0.6356632709503174,0.18772457540035248,0.12261684983968735,0.2007383555173874,0.4479386955499649,-0.07812150567770004,0.5258817233926845,False
ECM-Integrin,FN1,ITGAV,Endothelial,Macrophage,0.6356632709503174,0.18772457540035248,0.12086960673332214,0.128080353140831,0.4479386955499649,-0.00721074640750885,0.524771065124547,False
Osteopontin,SPP1,CD44,Macrophage,Mesenchyme,0.17661462724208832,0.03145637363195419,0.35806435346603394,0.16368801891803741,0.14515825361013412,0.19437633454799652,0.4027739904742136,False
NOTCH,DLL4,NOTCH3,Endothelial,Mesenchyme,0.46784526109695435,0.4509865343570709,0.7684780359268188,0.8800879120826721,0.016858726739883423,-0.11160987615585327,0.37638753410534065,True
TGFB,TGFB1,TGFBR2,Macrophage,Mesenchyme,0.6144010424613953,0.5450538992881775,0.26698577404022217,0.13585813343524933,0.06934714317321777,0.13112764060497284,0.36451112167086563,True
ECM-Integrin,POSTN,ITGAV,Endothelial,Mesenchyme,0.2792918086051941,0.03728624805808067,0.18315573036670685,0.12679481506347656,0.24200556054711342,0.056360915303230286,0.34952037104086653,False
Chemokine,CCL2,CCR2,Mesenchyme,Macrophage,0.9304117560386658,0.7466093897819519,0.125162273645401,0.0836995467543602,0.18380236625671387,0.0414627268910408,0.34171754395996423,False
Osteopontin,SPP1,CD44,Macrophage,Macrophage,0.17661462724208832,0.03145637363195419,0.9727697968482971,1.327744483947754,0.14515825361013412,-0.3549746870994568,0.3169636286728581,True
ECM-Integrin,POSTN,ITGAV,Endothelial,Macrophage,0.2792918086051941,0.03728624805808067,0.12086960673332214,0.128080353140831,0.24200556054711342,-0.00721074640750885,0.2757634516170615,False
TGFB,TGFB1,TGFBR2,Mesenchyme,Macrophage,0.27498483657836914,0.10981771349906921,0.28795042634010315,0.26537394523620605,0.16516712307929993,0.022576481103897095,0.266925605113002,False
PDGF,PDGFB,PDGFRB,Endothelial,Mesenchyme,0.20703564584255219,0.13893906772136688,0.9593784213066101,1.1115412712097168,0.0680965781211853,-0.1521628499031067,0.26672210918380745,False
Osteopontin,SPP1,CD44,Mesenchyme,Mesenchyme,0.0923377275466919,0.06132616102695465,0.35806435346603394,0.16368801891803741,0.031011566519737244,0.19437633454799652,0.2584507497822628,False
Osteopontin,SPP1,CD44,Endothelial,Mesenchyme,0.09404817223548889,0.06854003667831421,0.35806435346603394,0.16368801891803741,0.025508135557174683,0.19437633454799652,0.25355976809133374,False
