compartment,signature,n_in_signature,mean_log2FC,frac_up_sig,top_genes
Endothelial,SAM_signature,6,0.5764787245086211,0.16666666666666666,"FABP5,TREM2,MMP9,GPNMB,CD9"
Endothelial,ScarEC_signature,3,2.5082260291113463,0.3333333333333333,"ACKR1,RGCC,PLVAP"
Endothelial,HSC_activation,8,0.9564386860166099,0.125,"CTHRC1,LOX,COL1A1,COL3A1,LOXL2"
Endothelial,ECM_organization,9,1.3444047062969735,0.2222222222222222,"LOX,COL1A1,FN1,DCN,COL3A1"
Endothelial,TGF_beta,6,0.08816065189492182,0.0,"SERPINE1,TGFBR2,TGFB1,SMAD7,TGFBR1"
Macrophage,SAM_signature,6,0.9638798017812258,0.0,"TREM2,SPP1,CD9,MMP9,GPNMB"
Macrophage,ScarEC_signature,3,1.7013068868126469,0.0,"ACKR1,PLVAP,RGCC"
Macrophage,HSC_activation,8,1.4659646219533389,0.0,"COL1A1,CTHRC1,COL3A1,LOXL2,LOX"
Macrophage,ECM_organization,9,2.2477856105789646,0.1111111111111111,"FN1,COL1A1,COL1A2,COL3A1,LOXL2"
Macrophage,TGF_beta,6,-0.09512640783142774,0.0,"TGFBR1,TGFB1,SERPINE1,TGFBR2,SMAD7"
Mesenchyme,SAM_signature,6,0.581679160607437,0.16666666666666666,"TREM2,GPNMB,FABP5,SPP1,CD9"
Mesenchyme,ScarEC_signature,3,3.5271763549343707,0.6666666666666666,"ACKR1,PLVAP,RGCC"
Mesenchyme,HSC_activation,8,3.196008842957237,0.75,"LOX,COL1A1,CTHRC1,COL3A1,TIMP1"
Mesenchyme,ECM_organization,9,3.49739951147017,1.0,"LOX,COL1A1,COL1A2,COL3A1,LOXL2"
Mesenchyme,TGF_beta,6,0.9295953076406773,0.0,"TGFB1,SERPINE1,TGFBR2,SMAD7,SMAD3"
