sample_id,n_cells_pre,med_genes,med_counts,med_mt,n_cells_post,retention_pct
GSM4041150_healthy1_cd45+,1500,1038.5,2680.0,3.166224,1480,98.66666666666667
GSM4041151_healthy1_cd45-A,1039,1204.0,3485.0,5.8522725,816,78.53705486044274
GSM4041152_healthy1_cd45-B,478,1369.5,3381.5,6.8885775,371,77.61506276150628
GSM4041153_healthy2_cd45+,1500,588.0,1128.5,2.3010278,1497,99.8
GSM4041154_healthy2_cd45-,1500,677.5,1359.0,2.6724095,1486,99.06666666666666
GSM4041155_healthy3_cd45+,1500,1352.0,3953.0,3.7994165,1462,97.46666666666667
GSM4041156_healthy3_cd45-A,1500,1756.0,4694.0,4.2055774,1397,93.13333333333334
GSM4041157_healthy3_cd45-B,1156,1817.0,5542.0,4.416938,1074,92.90657439446366
GSM4041158_healthy4_cd45+,1500,1234.5,3814.0,3.5654829,1481,98.73333333333333
GSM4041159_healthy4_cd45-,1500,1927.5,6269.5,3.7072124,1470,98.0
GSM4041160_healthy5_cd45+,1500,905.5,2262.5,2.3365269,1490,99.33333333333333
GSM4041161_cirrhotic1_cd45+,1500,1154.0,3475.5,4.076188,1402,93.46666666666667
GSM4041162_cirrhotic1_cd45-A,1500,1607.0,4838.5,5.2052464,1367,91.13333333333334
GSM4041163_cirrhotic1_cd45-B,1500,1538.0,4854.0,6.283637,1302,86.8
GSM4041164_cirrhotic2_cd45+,1500,1333.0,3319.5,3.4310281,1444,96.26666666666667
GSM4041165_cirrhotic2_cd45-,1500,1744.0,4852.5,3.8252888,1429,95.26666666666667
GSM4041166_cirrhotic3_cd45+,1500,1297.0,4057.0,4.3471603,1401,93.4
GSM4041167_cirrhotic3_cd45-,1500,1463.5,4457.0,4.1852827,1443,96.2
GSM4041168_cirrhotic4_cd45+,1500,1102.5,2937.0,2.5174615,1495,99.66666666666667
GSM4041169_cirrhotic5_cd45+,1500,1524.0,5330.0,3.219739,1490,99.33333333333333
